old_row_id,new_row_id,row_kind,vn_ids,finding_id
GEO-0248,MGEO-0248,mining_geometry,EV-VN-S026-0069,DOCS_LEAKAGE-019
GEO-0249,MGEO-0249,mining_geometry,EV-VN-S026-0073,DOCS_LEAKAGE-019
GEO-0250,MGEO-0250,mining_geometry,EV-VN-S026-0077,DOCS_LEAKAGE-019
GEO-0251,MGEO-0251,mining_geometry,EV-VN-S026-0080,DOCS_LEAKAGE-019
GEO-0252,MGEO-0252,mining_geometry,EV-VN-S026-0086,DOCS_LEAKAGE-019
GEO-0253,MGEO-0253,mining_geometry,EV-VN-S026-0087,DOCS_LEAKAGE-019
GEO-0254,MGEO-0254,mining_geometry,EV-VN-S026-0093,DOCS_LEAKAGE-019
GEO-0255,MGEO-0255,mining_geometry,EV-VN-S026-0095,DOCS_LEAKAGE-019
GEO-0256,MGEO-0256,mining_geometry,EV-VN-S026-0100,DOCS_LEAKAGE-019
GEO-0257,MGEO-0257,mining_geometry,EV-VN-S026-0101,DOCS_LEAKAGE-019
GEO-0258,MGEO-0258,mining_geometry,EV-VN-S026-0108,DOCS_LEAKAGE-019
GEO-0259,MGEO-0259,mining_geometry,EV-VN-S026-0111,DOCS_LEAKAGE-019
GEO-0260,MGEO-0260,mining_geometry,EV-VN-S026-0117,DOCS_LEAKAGE-019
GEO-0261,MGEO-0261,mining_geometry,EV-VN-S026-0119,DOCS_LEAKAGE-019
GEO-0262,MGEO-0262,mining_geometry,EV-VN-S026-0150,DOCS_LEAKAGE-019
GEO-0263,MGEO-0263,mining_geometry,EV-VN-S026-0152,DOCS_LEAKAGE-019
GEO-0264,MGEO-0264,mining_geometry,EV-VN-S026-0155,DOCS_LEAKAGE-019
GEO-0265,MGEO-0265,mining_geometry,EV-VN-S026-0157,DOCS_LEAKAGE-019
GEO-0266,MGEO-0266,mining_geometry,EV-VN-S026-0158,DOCS_LEAKAGE-019
GEO-0267,MGEO-0267,mining_geometry,EV-VN-S026-0159,DOCS_LEAKAGE-019
