point_id,profile_id,point_type,feature,value,unit,provenance,standard_uncertainty,donor_distance_m,source_cell_id,model_feature_allowed,source_reference_year
P-H02-W006,P-H02,WORK,terrain_TRI_relative,,relative,C/R,0.1,7.802053324,G050-001880,True,2022
P-H02-W006,P-H02,WORK,terrain_roughness_relative,,relative,C/R,0.1,7.802053324,G050-001880,True,2022
P-H02-W007,P-H02,WORK,settlement_anchor_map_mm,314.155251141553,mm,D,34.71232877,0,G050-002007,False,2022
P-H02-W007,P-H02,WORK,kzt,0.645251396648045,1,D,0.032,0,G050-002007,True,2022
P-H02-W007,P-H02,WORK,ko,0.499441340782123,1,D,0.014,0,G050-002007,True,2022
P-H02-W007,P-H02,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-002007,True,2022
P-H02-W007,P-H02,WORK,fill_density,0.900826454162598,1,C/R,0.08,17.16202613,G050-002007,True,2022
P-H02-W007,P-H02,WORK,fault_distance_m,254.600457139266,m,C/R,25,17.16202613,G050-002007,True,2022
P-H02-W007,P-H02,WORK,lithology,mixed_salts,category,D,,0,G050-002007,True,2022
P-H02-W007,P-H02,WORK,terrain_TRI_relative,0.5,relative,C/R,0.1,17.16202613,G050-002007,True,2022
P-H02-W007,P-H02,WORK,terrain_roughness_relative,0.431372549019608,relative,C/R,0.1,17.16202613,G050-002007,True,2022
P-H02-REF-B,P-H02,REF,settlement_anchor_map_mm,0.0,mm,S_REF,0,0,,False,2022
P-H02-REF-B,P-H02,REF,kzt,0.1,1,S_REF,,0,,True,2022
P-H02-REF-B,P-H02,REF,ko,0.3,1,S_REF,,0,,True,2022
P-H02-REF-B,P-H02,REF,seismic_energy_J_m2,0.0,J/m2,S_REF,,0,,True,2022
P-H02-REF-B,P-H02,REF,fill_density,0.0,1,S_REF,,0,,True,2022
P-H02-REF-B,P-H02,REF,fault_distance_m,9999.0,m,S_REF,,0,,True,2022
P-H02-REF-B,P-H02,REF,lithology,stable_external_reference,category,S_REF,,0,,True,2022
P-H02-REF-B,P-H02,REF,terrain_TRI_relative,,relative,S_REF,,0,,True,2022
P-H02-REF-B,P-H02,REF,terrain_roughness_relative,,relative,S_REF,,0,,True,2022
P-H03-REF-A,P-H03,REF,settlement_anchor_map_mm,0.0,mm,S_REF,0,0,,False,2022
P-H03-REF-A,P-H03,REF,kzt,0.1,1,S_REF,,0,,True,2022
P-H03-REF-A,P-H03,REF,ko,0.3,1,S_REF,,0,,True,2022
P-H03-REF-A,P-H03,REF,seismic_energy_J_m2,0.0,J/m2,S_REF,,0,,True,2022
P-H03-REF-A,P-H03,REF,fill_density,0.0,1,S_REF,,0,,True,2022
P-H03-REF-A,P-H03,REF,fault_distance_m,9999.0,m,S_REF,,0,,True,2022
P-H03-REF-A,P-H03,REF,lithology,stable_external_reference,category,S_REF,,0,,True,2022
P-H03-REF-A,P-H03,REF,terrain_TRI_relative,,relative,S_REF,,0,,True,2022
P-H03-REF-A,P-H03,REF,terrain_roughness_relative,,relative,S_REF,,0,,True,2022
P-H03-W001,P-H03,WORK,settlement_anchor_map_mm,333.789954337899,mm,D,35.00684932,0,G050-015702,False,2022
P-H03-W001,P-H03,WORK,kzt,0.378779429154803,1,R,0.08836617813,152.2886133,G050-015702,True,2022
P-H03-W001,P-H03,WORK,ko,0.65,1,D,0.014,0,G050-015702,True,2022
